Listing_ID,Source,Locality,Sub_Region,Locality_Tier,Society_Name,Rent,BHK,Bathroom,Floor,Total Floors,Carpet_Area_SqFt,Furnishing,Tenant_Type,Property_Type,Property_Age_Category,Property_Age_Years,Posted_Date,Rent_Per_SqFt,Rent_Annual,Rent_Band,Area_Band,Rate_Quality_Flag,Absolute_Price_Flag,Rate_Ceiling_Flag,Data_Quality_Flag
LST-026,99acres,Andheri West,Western Line,Mid Suburb,Gurukrupa Dhyanam,160000.00,3,3,11,17,952,Semi-Furnished,All,Apartment,0-1 Year,1,2026-06-20,168.07,1920000,Luxury,Large,Normal,Normal,Normal,Pass
LST-027,99acres,Andheri East,Western Line,Mid Suburb,Rustomjee Central Park,90000.00,2,2,4,7,700,Furnished,Family Only,Apartment,10+ Years,10,2026-06-10,128.57,1080000,Premium,Medium,Normal,Normal,Normal,Pass
LST-028,99acres,Andheri West,Western Line,Mid Suburb,Green Crest Apartment,70000.00,2,2,1,6,800,Semi-Furnished,All,Apartment,10+ Years,10,2026-06-22,87.50,840000,Premium,Medium,Normal,Normal,Normal,Pass
LST-029,99acres,Andheri West,Western Line,Mid Suburb,Lodha Amrut Tara,95000.00,3,3,17,21,900,Unfurnished,Family Only,Apartment,0-1 Year,1,2026-05-08,105.56,1140000,Premium,Large,Normal,Normal,Normal,Pass
LST-030,99acres,Andheri West,Western Line,Mid Suburb,Vastu Heights,280000.00,3,3,5,8,1300,Furnished,Family Only,Apartment,5-10 Years,7.5,2026-06-17,215.38,3360000,Luxury,Spacious,Normal,Normal,Normal,Pass
LST-031,99acres,Powai,Central Suburbs,Premium Suburb,Kanakia Silicon Valley,85000.00,2,2,12,30,737,Semi-Furnished,All,Apartment,Unknown,,2026-05-02,115.33,1020000,Premium,Medium,Normal,Normal,Normal,Pass
LST-032,99acres,Powai,Central Suburbs,Premium Suburb,Lodha Bellagio,110000.00,2,2,20,27,783,Semi-Furnished,All,Apartment,Unknown,,2026-06-15,140.49,1320000,Luxury,Medium,Normal,Normal,Normal,Pass
LST-033,99acres,Powai,Central Suburbs,Premium Suburb,Hiranandani Eldora,105000.00,2,2,5,29,900,Semi-Furnished,All,Apartment,Unknown,,2026-06-22,116.67,1260000,Luxury,Large,Normal,Normal,Normal,Pass
LST-034,99acres,Powai,Central Suburbs,Premium Suburb,Hiranandani Atlantis,135000.00,2,2,10,32,762,Semi-Furnished,All,Apartment,5-10 Years,7.5,2026-05-27,177.17,1620000,Luxury,Medium,Normal,Normal,Normal,Pass
LST-035,99acres,Powai,Central Suburbs,Premium Suburb,Hiranandani Gardens Valencia,95000.00,2,2,8,22,810,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-22,117.28,1140000,Premium,Large,Normal,Normal,Normal,Pass
LST-036,99acres,Powai,Central Suburbs,Premium Suburb,Hiranandani Ambrosia,275000.00,3,4,6,18,1600,Furnished,All,Apartment,5-10 Years,7.5,2026-06-03,171.88,3300000,Luxury,Spacious,Normal,Normal,Normal,Pass
LST-037,99acres,Powai,Central Suburbs,Premium Suburb,Hiranandani Heritage,250000.00,3,3,10,36,785,Furnished,All,Apartment,Unknown,,2026-05-19,318.47,3000000,Luxury,Medium,Normal,Normal,Normal,Pass
LST-038,99acres,Powai,Central Suburbs,Premium Suburb,Lodha Bellagio,175000.00,3,2,10,27,1205,Semi-Furnished,Family Only,Apartment,0-1 Year,1,2026-06-13,145.23,2100000,Luxury,Spacious,Normal,Normal,Normal,Pass
LST-039,99acres,Powai,Central Suburbs,Premium Suburb,Hiranandani Highland,110000.00,2,2,5,23,620,Furnished,All,Apartment,1-5 Years,3,2026-06-19,177.42,1320000,Luxury,Medium,Normal,Normal,Normal,Pass
LST-040,99acres,Powai,Central Suburbs,Premium Suburb,Shapoorji Pallonji Vicinia,110000.00,3,3,12,21,1001,Semi-Furnished,All,Apartment,5-10 Years,7.5,2026-06-09,109.89,1320000,Luxury,Large,Normal,Normal,Normal,Pass
LST-041,99acres,Powai,Central Suburbs,Premium Suburb,Cosmopolitan CHS,70000.00,2,2,12,14,700,Furnished,All,Apartment,10+ Years,10,2026-06-17,100.00,840000,Premium,Medium,Normal,Normal,Normal,Pass
LST-042,99acres,Powai,Central Suburbs,Premium Suburb,Hiranandani Gardens Glen Classic,190000.00,3,3,12,27,1439,Semi-Furnished,All,Apartment,10+ Years,10,2026-06-18,132.04,2280000,Luxury,Spacious,Normal,Normal,Normal,Pass
LST-043,99acres,Powai,Central Suburbs,Premium Suburb,Adonia Apartments,359000.00,3,4,27,30,1680,Semi-Furnished,All,Apartment,10+ Years,10,2026-06-16,213.69,4308000,Luxury,Spacious,Normal,Normal,Normal,Pass
LST-044,99acres,Powai,Central Suburbs,Premium Suburb,L&T Emerald Isle,125000.00,3,3,16,26,987,Semi-Furnished,All,Apartment,0-1 Year,1,2026-05-05,126.65,1500000,Luxury,Large,Normal,Normal,Normal,Pass
LST-045,99acres,Powai,Central Suburbs,Premium Suburb,Lake Lucerne,115000.00,3,3,1,23,1160,Unfurnished,Family Only,Apartment,Unknown,,2026-06-10,99.14,1380000,Luxury,Large,Normal,Normal,Normal,Pass
LST-046,99acres,Mira Road,Western Line,Mid Suburb,MICL Aaradhya Highpark,40000.00,1,2,19,30,495,Furnished,All,Apartment,Unknown,,2026-06-24,80.81,480000,Mid,Compact,Normal,Normal,Normal,Pass
LST-047,99acres,Mira Road,Western Line,Mid Suburb,Hill Galaxy,22000.00,1,2,5,12,400,Unfurnished,Family Only,Apartment,Unknown,,2026-06-23,55.00,264000,Budget,Compact,Normal,Normal,Normal,Pass
LST-048,99acres,Mira Road,Western Line,Mid Suburb,Jay Vinay Classic,22000.00,1,1,3,7,430,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-24,51.16,264000,Budget,Compact,Normal,Normal,Normal,Pass
LST-049,99acres,Mira Road,Western Line,Mid Suburb,JP North Garden City,23500.00,1,2,12,35,507,Unfurnished,Family Only,Apartment,Unknown,,2026-06-24,46.35,282000,Budget,Medium,Normal,Normal,Normal,Pass
LST-050,99acres,Mira Road,Western Line,Mid Suburb,Harsh Vihar,25000.00,1,2,3,7,450,Semi-Furnished,Family Only,Apartment,10+ Years,10,2026-06-24,55.56,300000,Budget,Compact,Normal,Normal,Normal,Pass
LST-051,99acres,Mira Road,Western Line,Mid Suburb,Space Residencyss,30000.00,1,1,4,12,350,Furnished,Family Only,Apartment,Unknown,,2026-06-24,85.71,360000,Budget,Compact,Normal,Normal,Normal,Pass
LST-052,99acres,Mira Road,Western Line,Mid Suburb,Unique Poonam Estate Cluster 1,70000.00,1,2,11,18,425,Semi-Furnished,All,Apartment,5-10 Years,7.5,2026-06-20,164.71,840000,Premium,Compact,Normal,Normal,Normal,Pass
LST-053,99acres,Mira Road,Western Line,Mid Suburb,JK Iris,31000.00,1,2,7,16,513,Furnished,Family Only,Apartment,1-5 Years,3,2026-06-03,60.43,372000,Mid,Medium,Normal,Normal,Normal,Pass
LST-054,99acres,Mira Road,Western Line,Mid Suburb,Lodha Casa,27000.00,1,2,20,23,486,Semi-Furnished,Family Only,Apartment,1-5 Years,3,2026-06-09,55.56,324000,Budget,Compact,Normal,Normal,Normal,Pass
LST-055,99acres,Mira Road,Western Line,Mid Suburb,Indraprastha Society,21500.00,1,1,0,7,396,Semi-Furnished,Family Only,Apartment,5-10 Years,7.5,2026-06-12,54.29,258000,Budget,Compact,Normal,Normal,Normal,Pass
LST-056,99acres,Mira Road,Western Line,Mid Suburb,Lodha Casa Supremo,40500.00,2,2,36,31,668,Semi-Furnished,Family Only,Apartment,0-1 Year,1,2026-06-15,60.63,486000,Mid,Medium,Normal,Normal,Normal,Pass
LST-057,99acres,Mira Road,Western Line,Mid Suburb,Srishti Namaah,36100.00,2,2,13,36,652,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-22,55.37,433200,Mid,Medium,Normal,Normal,Normal,Pass
LST-058,99acres,Mira Road,Western Line,Mid Suburb,Cllaro Urban Grandeur,45000.00,2,2,3,13,714,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-16,63.03,540000,Mid,Medium,Normal,Normal,Normal,Pass
LST-059,99acres,Mira Road,Western Line,Mid Suburb,Abhay Sheetal Complex,25000.00,2,2,7,7,650,Unfurnished,Family Only,Apartment,Unknown,,2026-06-12,38.46,300000,Budget,Medium,Normal,Normal,Normal,Pass
LST-060,99acres,Mira Road,Western Line,Mid Suburb,Lodha Aqua,40000.00,2,2,3,14,742,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-24,53.91,480000,Mid,Medium,Normal,Normal,Normal,Pass
LST-061,99acres,Mira Road,Western Line,Mid Suburb,Unique Estate,31000.00,2,2,5,13,650,Unfurnished,Family Only,Apartment,Unknown,,2026-06-16,47.69,372000,Mid,Medium,Normal,Normal,Normal,Pass
LST-062,99acres,Mira Road,Western Line,Mid Suburb,Samarth Chs,27000.00,2,2,2,22,737,Semi-Furnished,Family Only,Apartment,1-5 Years,3,2026-06-13,36.64,324000,Budget,Medium,Normal,Normal,Normal,Pass
LST-063,99acres,Mira Road,Western Line,Mid Suburb,Chamunda Classic,35000.00,2,2,12,14,720,Semi-Furnished,Family Only,Apartment,5-10 Years,7.5,2026-06-22,48.61,420000,Mid,Medium,Normal,Normal,Normal,Pass
LST-064,99acres,Mira Road,Western Line,Mid Suburb,Pramanik Walchand Paradise,38000.00,2,2,14,21,646,Semi-Furnished,Family Only,Apartment,0-1 Year,1,2026-06-13,58.82,456000,Mid,Medium,Normal,Normal,Normal,Pass
LST-065,99acres,Mira Road,Western Line,Mid Suburb,Sonam Indradhanush,38000.00,2,2,20,22,759,Unfurnished,Family Only,Apartment,0-1 Year,1,2026-06-02,50.07,456000,Mid,Medium,Normal,Normal,Normal,Pass
LST-066,99acres,Mira Road,Western Line,Mid Suburb,Lodha Casa Supremo,45000.00,3,2,7,31,885,Semi-Furnished,Family Only,Apartment,0-1 Year,1,2026-06-05,50.85,540000,Mid,Large,Normal,Normal,Normal,Pass
LST-067,99acres,Mira Road,Western Line,Mid Suburb,Space Ashley Tower,43000.00,3,3,6,17,950,Semi-Furnished,Family Only,Apartment,10+ Years,10,2026-06-10,45.26,516000,Mid,Large,Normal,Normal,Normal,Pass
LST-068,99acres,Mira Road,Western Line,Mid Suburb,Srishti Namaah,55000.00,3,3,21,33,878,Unfurnished,Family Only,Apartment,Unknown,,2026-06-07,62.64,660000,Mid,Large,Normal,Normal,Normal,Pass
LST-069,99acres,Mira Road,Western Line,Mid Suburb,Unique Heights,40000.00,3,3,6,1,950,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-12,42.11,480000,Mid,Large,Normal,Normal,Normal,Pass
LST-070,99acres,Mira Road,Western Line,Mid Suburb,Pramanik Walchand Paradise,60000.00,3,3,3,27,1092,Unfurnished,Family Only,Apartment,0-1 Year,1,2026-06-20,54.95,720000,Mid,Large,Normal,Normal,Normal,Pass
LST-071,99acres,Mira Road,Western Line,Mid Suburb,Kalpataru Srishti,52000.00,3,3,6,14,855,Furnished,Family Only,Apartment,5-10 Years,7.5,2026-06-22,60.82,624000,Mid,Large,Normal,Normal,Normal,Pass
LST-072,99acres,Mira Road,Western Line,Mid Suburb,Phase 3,23000.00,3,2,4,4,685,Unfurnished,Family Only,Apartment,10+ Years,10,2026-06-18,33.58,276000,Budget,Medium,Below Tier Range,Normal,Normal,Review
LST-073,99acres,Mira Road,Western Line,Mid Suburb,Nityanand Nagar CHS,45000.00,3,2,1,7,1150,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-11,39.13,540000,Mid,Large,Normal,Normal,Normal,Pass
LST-074,99acres,Mira Road,Western Line,Mid Suburb,Harsh Residency,45000.00,3,2,18,22,800,Furnished,Family Only,Apartment,1-5 Years,3,2026-06-12,56.25,540000,Mid,Medium,Normal,Normal,Normal,Pass
LST-075,99acres,Mira Road,Western Line,Mid Suburb,Leena Bhairav Residency,45000.00,3,3,7,15,975,Unfurnished,Family Only,Apartment,0-1 Year,1,2026-06-07,46.15,540000,Mid,Large,Normal,Normal,Normal,Pass
LST-076,99acres,Bhayander East,Western Line,Far Suburb,Kasturi Heights,24000.00,1,2,5,14,680,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-24,35.29,288000,Budget,Medium,Normal,Normal,Normal,Pass
LST-077,99acres,Bhayander East,Western Line,Far Suburb,Jesal Complex,20000.00,1,1,4,20,300,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-10,66.67,240000,Budget,Compact,Normal,Normal,Normal,Pass
LST-078,99acres,Bhayander East,Western Line,Far Suburb,Ram Jharokha,18500.00,1,2,2,7,365,Unfurnished,Family Only,Apartment,5-10 Years,7.5,2026-06-16,50.68,222000,Budget,Compact,Normal,Normal,Normal,Pass
LST-079,99acres,Bhayander East,Western Line,Far Suburb,Arihant Heights,24000.00,1,2,5,16,401.39,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-24,59.79,288000,Budget,Compact,Normal,Normal,Normal,Pass
LST-080,99acres,Bhayander East,Western Line,Far Suburb,Ranuja Ramdev Park,21000.00,1,2,4,6,410,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-09,51.22,252000,Budget,Compact,Normal,Normal,Normal,Pass
LST-081,99acres,Bhayander East,Western Line,Far Suburb,Panchsheel Society,15000.00,1,2,0,3,460,Unfurnished,Family Only,Apartment,10+ Years,10,2026-06-12,32.61,180000,Budget,Compact,Normal,Normal,Normal,Pass
LST-082,99acres,Bhayander East,Western Line,Far Suburb,Anand Enclave,19000.00,1,2,2,7,450,Semi-Furnished,Family Only,Apartment,10+ Years,10,2026-06-12,42.22,228000,Budget,Compact,Normal,Normal,Normal,Pass
LST-083,99acres,Bhayander East,Western Line,Far Suburb,Shubham Heights,25000.00,2,2,5,7,625,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-15,40.00,300000,Budget,Medium,Normal,Normal,Normal,Pass
LST-084,99acres,Bhayander East,Western Line,Far Suburb,Laxmi Heights,32000.00,2,2,5,14,680,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-10,47.06,384000,Mid,Medium,Normal,Normal,Normal,Pass
LST-085,99acres,Bhayander East,Western Line,Far Suburb,Sonam Indraprasth,48000.00,2,2,20,21,775,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-03,61.94,576000,Mid,Medium,Normal,Normal,Normal,Pass
LST-086,99acres,Bhayander East,Western Line,Far Suburb,Aims Sea View,26000.00,2,2,7,22,650,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-16,40.00,312000,Budget,Medium,Normal,Normal,Normal,Pass
LST-087,99acres,Bhayander East,Western Line,Far Suburb,Sonam Indraprasth,45000.00,2,2,20,21,775,Semi-Furnished,Family Only,Apartment,1-5 Years,3,2026-06-03,58.06,540000,Mid,Medium,Normal,Normal,Normal,Pass
LST-088,99acres,Bhayander East,Western Line,Far Suburb,"Sonam Indraprasth,",30000.00,2,2,3,7,705,Semi-Furnished,Family Only,Apartment,10+ Years,10,2026-05-18,42.55,360000,Budget,Medium,Normal,Normal,Normal,Pass
LST-089,99acres,Bhayander East,Western Line,Far Suburb,new siddhi plaza,25000.00,2,2,0,4,685,Furnished,Family Only,Apartment,5-10 Years,7.5,2026-06-19,36.50,300000,Budget,Medium,Normal,Normal,Normal,Pass
LST-090,99acres,Bhayander East,Western Line,Far Suburb,Maneebhadra Tower,25000.00,2,2,2,7,820,Unfurnished,Family Only,Apartment,10+ Years,10,2026-06-15,30.49,300000,Budget,Large,Normal,Normal,Normal,Pass
LST-091,99acres,Bhayander West,Western Line,Far Suburb,Bhayander Apartment,20000.00,1,1,2,4,545,Furnished,All,Apartment,Unknown,,2026-06-06,36.70,240000,Budget,Medium,Normal,Normal,Normal,Pass
LST-092,99acres,Bhayander West,Western Line,Far Suburb,Ashok nagar,15000.00,1,1,0,2,510,Unfurnished,All,Apartment,10+ Years,10,2026-04-03,29.41,180000,Budget,Medium,Normal,Normal,Normal,Pass
LST-093,99acres,Bhayander West,Western Line,Far Suburb,Mahavir Apartments,17000.00,1,1,3,3,375,Furnished,All,Apartment,10+ Years,10,2026-04-03,45.33,204000,Budget,Compact,Normal,Normal,Normal,Pass
LST-094,99acres,Bhayander West,Western Line,Far Suburb,Tapasya Apartments,22000.00,2,2,2,3,760,Unfurnished,All,Apartment,10+ Years,10,2026-05-31,28.95,264000,Budget,Medium,Normal,Normal,Normal,Pass
LST-095,99acres,Bhayander West,Western Line,Far Suburb,Sheetal Kunj CHS,45000.00,3,2,1,3,800,Semi-Furnished,All,Apartment,5-10 Years,7.5,2026-06-09,56.25,540000,Mid,Medium,Normal,Normal,Normal,Pass
LST-096,99acres,Bhayander West,Western Line,Far Suburb,Bhairav Srishti,40000.00,3,3,10,10,1640,Unfurnished,Family Only,Apartment,10+ Years,10,2026-06-04,24.39,480000,Mid,Spacious,Normal,Normal,Normal,Pass
LST-097,99acres,Bhayander East,Western Line,Far Suburb,Sonam Heights,35000.00,3,3,4,15,900,Semi-Furnished,Family Only,Apartment,5-10 Years,7.5,2026-05-12,38.89,420000,Mid,Large,Normal,Normal,Normal,Pass
LST-098,99acres,Bhayander East,Western Line,Far Suburb,TEERTHA CHS,38000.00,3,2,2,7,800,Semi-Furnished,Family Only,Apartment,10+ Years,10,2026-05-11,47.50,456000,Mid,Medium,Normal,Normal,Normal,Pass
LST-099,99acres,Naigaon East,Western Line,Far Suburb,Sunteck West World,11500.00,1,2,19,22,392,Unfurnished,Family Only,Apartment,1-5 Years,3,2026-06-16,29.34,138000,Budget,Compact,Normal,Normal,Normal,Pass
LST-100,99acres,Naigaon East,Western Line,Far Suburb,Kini Complex naigaon,9000.00,1,2,3,9,400,Unfurnished,Family Only,Apartment,1-5 Years,3,2026-06-16,22.50,108000,Budget,Compact,Normal,Normal,Normal,Pass
LST-101,99acres,Naigaon East,Western Line,Far Suburb,Rashmi Star City,9500.00,1,2,10,14,400,Unfurnished,Family Only,Apartment,1-5 Years,3,2026-06-22,23.75,114000,Budget,Compact,Normal,Normal,Normal,Pass
LST-102,99acres,Naigaon East,Western Line,Far Suburb,Sagar Palacia,10500.00,1,2,10,15,500,Unfurnished,Family Only,Apartment,Unknown,,2026-06-16,21.00,126000,Budget,Compact,Normal,Normal,Normal,Pass
LST-103,99acres,Naigaon East,Western Line,Far Suburb,Sunteck max world,12500.00,1,2,10,15,410,Unfurnished,Family Only,Apartment,1-5 Years,3,2026-06-15,30.49,150000,Budget,Compact,Normal,Normal,Normal,Pass
LST-104,99acres,Naigaon East,Western Line,Far Suburb,JSB Nakshatra Primus,9000.00,1,2,1,14,270,Unfurnished,Family Only,Apartment,1-5 Years,3,2026-05-30,33.33,108000,Budget,Compact,Normal,Normal,Normal,Pass
LST-105,99acres,Naigaon East,Western Line,Far Suburb,MAAD Balkrishna Sankul,12000.00,1,1,8,8,350,Unfurnished,Family Only,Apartment,1-5 Years,3,2026-06-12,34.29,144000,Budget,Compact,Normal,Normal,Normal,Pass
LST-106,99acres,Naigaon East,Western Line,Far Suburb,Shree Ram Heights,12000.00,1,1,2,11,332.5,Semi-Furnished,Family Only,Apartment,0-1 Year,1,2026-06-08,36.09,144000,Budget,Compact,Normal,Normal,Normal,Pass
LST-107,99acres,Naigaon East,Western Line,Far Suburb,Sunteck West World,16500.00,2,2,1,22,550,Semi-Furnished,Family Only,Apartment,Unknown,,2026-05-26,30.00,198000,Budget,Medium,Normal,Normal,Normal,Pass
LST-108,99acres,Naigaon East,Western Line,Far Suburb,"Sunteck West World,",13000.00,2,2,4,16,590,Furnished,Family Only,Apartment,5-10 Years,7.5,2026-06-01,22.03,156000,Budget,Medium,Normal,Normal,Normal,Pass
LST-109,99acres,Naigaon East,Western Line,Far Suburb,Sunteck Maxxworld,14500.00,2,2,23,23,570,Unfurnished,All,Apartment,1-5 Years,3,2026-06-06,25.44,174000,Budget,Medium,Normal,Normal,Normal,Pass
LST-110,99acres,Naigaon East,Western Line,Far Suburb,Navkar Tower,13000.00,2,3,7,8,950,Unfurnished,Family Only,Apartment,5-10 Years,7.5,2026-05-26,13.68,156000,Budget,Large,Normal,Normal,Normal,Pass
LST-111,99acres,Naigaon East,Western Line,Far Suburb,Sagar Palacia,14200.00,2,2,6,15,550,Unfurnished,Family Only,Apartment,Unknown,,2026-06-08,25.82,170400,Budget,Medium,Normal,Normal,Normal,Pass
LST-112,99acres,Naigaon East,Western Line,Far Suburb,Sunteck Maxxworld,18000.00,3,3,13,23,870,Unfurnished,All,Apartment,1-5 Years,3,2026-06-05,20.69,216000,Budget,Large,Normal,Normal,Normal,Pass
LST-113,99acres,Naigaon East,Western Line,Far Suburb,Sunteck Maxxworld,17000.00,3,3,18,23,751,Unfurnished,All,Apartment,1-5 Years,3,2026-06-18,22.64,204000,Budget,Medium,Normal,Normal,Normal,Pass
LST-114,99acres,Naigaon West,Western Line,Far Suburb,Shamshad Mariam Park Complex,12000.00,1,2,3,7,500,Semi-Furnished,All,Apartment,0-1 Year,1,2026-06-20,24.00,144000,Budget,Compact,Normal,Normal,Normal,Pass
LST-115,99acres,Naigaon West,Western Line,Far Suburb,Roshan Park,13000.00,1,1,2,2,555,Furnished,All,Apartment,10+ Years,10,2026-05-12,23.42,156000,Budget,Medium,Normal,Normal,Normal,Pass
LST-116,99acres,Vasai East,Western Line,Outer Periphery,Ornate Heights,14000.00,1,2,11,23,464,Semi-Furnished,Family Only,Apartment,Unknown,,2026-06-23,30.17,168000,Budget,Compact,Normal,Normal,Normal,Pass
